YahooSymbol,Code,Company,Sector,is_reit
AHK.AX,AHK,ARK MINES LIMITED,Materials,False
A1N.AX,A1N,ARN MEDIA LIMITED,Media & Entertainment,False
ARX.AX,ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ALA.AX,ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
AMD.AX,AMD,ARROW MINERALS LTD,Materials,False
ARV.AX,ARV,ARTEMIS RESOURCES LIMITED,Materials,False
ATG.AX,ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
AYA.AX,AYA,ARTRYA LIMITED,Health Care Equipment & Services,False
AAJ.AX,AAJ,ARUMA RESOURCES LIMITED,Materials,False
AS1.AX,AS1,ASARA RESOURCES LIMITED,Materials,False
AFA.AX,AFA,ASF GROUP LIMITED,Financial Services,False
ASH.AX,ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,False
AZ9.AX,AZ9,ASIAN BATTERY METALS PLC,Materials,False
AS2.AX,AS2,ASKARI METALS LIMITED,Materials,False
ASP.AX,ASP,ASPERMONT LIMITED.,Media & Entertainment,False
AKM.AX,AKM,ASPIRE MINING LIMITED,Materials,False
ASV.AX,ASV,ASSET VISION CO LTD,Commercial & Professional Services,False
APL.AX,APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services,False
AAR.AX,AAR,ASTRAL RESOURCES NL,Materials,False
ATR.AX,ATR,ASTRON LIMITED,Materials,False
ASX.AX,ASX,ASX LIMITED,Financial Services,False
AHN.AX,AHN,ATHENA RESOURCES LIMITED,Materials,False
A11.AX,A11,ATLANTIC LITHIUM LIMITED,Materials,False
ALX.AX,ALX,ATLAS ARTERIA,Transportation,False
ATP.AX,ATP,ATLAS PEARLS LTD,Consumer Durables & Apparel,False
AEU.AX,AEU,ATOMIC EAGLE LTD,Materials,False
AT1.AX,AT1,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services,False
AMS.AX,AMS,ATOMOS LIMITED,Consumer Durables & Apparel,False
ATA.AX,ATA,ATTURRA LIMITED,Software & Services,False
AUB.AX,AUB,AUB GROUP LIMITED,Insurance,False
AIA.AX,AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,False
CYB.AX,CYB,AUCYBER LIMITED,Software & Services,False
ACP.AX,ACP,AUDALIA RESOURCES LIMITED,Materials,False
AUA.AX,AUA,AUDEARA LIMITED,Consumer Durables & Apparel,False
AD8.AX,AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,False
AKP.AX,AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,False
AUG.AX,AUG,AUGUSTUS MINERALS LIMITED,Materials,False
AKN.AX,AKN,AUKING MINING LIMITED,Materials,False
AUK.AX,AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,False
AAM.AX,AAM,AUMEGA METALS LTD,Materials,False
AEE.AX,AEE,AURA ENERGY LIMITED,Energy,False
AUV.AX,AUV,AURAVELLE METALS LIMITED,Materials,False
AKA.AX,AKA,AUREKA LIMITED,Materials,False
AMI.AX,AMI,AURELIA METALS LIMITED,Materials,False
AWJ.AX,AWJ,AURIC MINING LIMITED,Materials,False
AUR.AX,AUR,AURIS MINERALS LIMITED,Materials,False
AZJ.AX,AZJ,AURIZON HOLDINGS LIMITED,Transportation,False
1AE.AX,1AE,AURORA ENERGY METALS LIMITED,Materials,False
A3D.AX,A3D,AURORA LABS LIMITED,Capital Goods,False
AUE.AX,AUE,AURUM RESOURCES LIMITED,Materials,False
AUC.AX,AUC,AUSGOLD LIMITED,Materials,False
AOA.AX,AOA,AUSMON RESOURCES LIMITED,Materials,False
AQD.AX,AQD,AUSQUEST LIMITED,Materials,False
ABB.AX,ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,False
ASB.AX,ASB,AUSTAL LIMITED,Capital Goods,False
AHC.AX,AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,False
ANG.AX,ANG,AUSTIN ENGINEERING LIMITED,Capital Goods,False
AYT.AX,AYT,AUSTIN METALS LIMITED,Materials,False
AGD.AX,AGD,AUSTRAL GOLD LIMITED,Materials,False
AR1.AX,AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,False
A8G.AX,A8G,AUSTRALASIAN METALS LIMITED,Materials,False
AYM.AX,AYM,AUSTRALIA UNITED MINING LIMITED,Materials,False
AAC.AX,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",False
AAP.AX,AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",False
ABE.AX,ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,False
ACL.AX,ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,False
ACM.AX,ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,False
AHF.AX,AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",False
AEF.AX,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,False
AFG.AX,AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,False
AGC.AX,AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,False
AUZ.AX,AUZ,AUSTRALIAN MINES LIMITED,Materials,False
AOK.AX,AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy,False
AQC.AX,AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials,False
AR3.AX,AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials,False
ASQ.AX,ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,False
ASM.AX,ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,False
AVL.AX,AVL,AUSTRALIAN VANADIUM LIMITED,Materials,False
AVG.AX,AVG,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",False
ATS.AX,ATS,AUSTRALIS OIL & GAS LIMITED,Energy,False
ASG.AX,ASG,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,False
AVA.AX,AVA,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,False
AVD.AX,AVD,AVADA GROUP LIMITED,Commercial & Professional Services,False
AVE.AX,AVE,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
AEV.AX,AEV,AVENIRA LIMITED,Materials,False
AVW.AX,AVW,AVIRA RESOURCES LTD,Materials,False
AVH.AX,AVH,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",False
AXL.AX,AXL,AXEL REE LIMITED,Materials,False
AXP.AX,AXP,AXP ENERGY LIMITED,Energy,False
AXI.AX,AXI,AXTEC LIMITED,Real Estate Management & Development,False
BBN.AX,BBN,BABY BUNTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
BPP.AX,BPP,BABYLON PUMP & POWER LIMITED,Capital Goods,False
BTI.AX,BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED,Financial Services,False
BM1.AX,BM1,BALLARD MINING LIMITED,Materials,False
BMR.AX,BMR,BALLYMORE RESOURCES LIMITED,Materials,False
BOQ.AX,BOQ,BANK OF QUEENSLAND LIMITED.,Banks,False
BMN.AX,BMN,BANNERMAN ENERGY LTD,Energy,False
BAP.AX,BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,False
BAK.AX,BAK,BARKLY RARE EARTHS LIMITED,Materials,False
BGD.AX,BGD,BARTON GOLD HOLDINGS LIMITED,Materials,False
BRY.AX,BRY,BARYS RESOURCES LIMITED,Materials,False
BSN.AX,BSN,BASIN ENERGY LIMITED,Energy,False
BAS.AX,BAS,BASS OIL LIMITED,Energy,False
BRL.AX,BRL,BATHURST RESOURCES LIMITED.,Materials,False
BM8.AX,BM8,BATTERY AGE MINERALS LTD,Materials,False
BMH.AX,BMH,BAUMART HOLDINGS LIMITED,Capital Goods,False
BMM.AX,BMM,BAYAN MINING AND MINERALS LIMITED,Materials,False
BDX.AX,BDX,BCAL DIAGNOSTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
BCI.AX,BCI,BCI MINERALS LIMITED,Materials,False
BPT.AX,BPT,BEACH ENERGY LIMITED,Energy,False
BLX.AX,BLX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,False
BCN.AX,BCN,BEACON MINERALS LIMITED,Materials,False
BCC.AX,BCC,BEAM COMMUNICATIONS HOLDINGS LIMITED,Technology Hardware & Equipment,False
BMT.AX,BMT,BEAMTREE HOLDINGS LIMITED,Health Care Equipment & Services,False
BTL.AX,BTL,BEETALOO ENERGY AUSTRALIA LIMITED,Energy,False
B4P.AX,B4P,BEFOREPAY GROUP LIMITED,Financial Services,False
BGA.AX,BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",False
BRX.AX,BRX,BELARAROX LIMITED,Materials,False
BFG.AX,BFG,BELL FINANCIAL GROUP LIMITED,Financial Services,False
BVR.AX,BVR,BELLAVISTA RESOURCES LTD,Materials,False
BGL.AX,BGL,BELLEVUE GOLD LIMITED,Materials,False
BEN.AX,BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,False
BNZ.AX,BNZ,BENZ MINING CORP.,Materials,False
BEO.AX,BEO,BEONIC LTD,Software & Services,False
BKY.AX,BKY,BERKELEY ENERGIA LIMITED,Energy,False
BEZ.AX,BEZ,BESRA GOLD INC.,Materials,False
BET.AX,BET,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services,False
BBT.AX,BBT,BETR ENTERTAINMENT LIMITED,Consumer Services,False
BWN.AX,BWN,BHAGWAN MARINE LIMITED,Transportation,False
BHP.AX,BHP,BHP GROUP LIMITED,Materials,False
BRI.AX,BRI,BIG RIVER INDUSTRIES LIMITED,Materials,False
BIM.AX,BIM,BINDI METALS LIMITED,Materials,False
BGT.AX,BGT,BIO-GENE TECHNOLOGY LTD,Materials,False
BIO.AX,BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products,False
BIT.AX,BIT,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
BXN.AX,BXN,BIOXYNE LIMITED,Household & Personal Products,False
BIS.AX,BIS,BISALLOY STEEL GROUP LIMITED,Materials,False
BKB.AX,BKB,BLACK BEAR MINERALS LIMITED,Materials,False
BCA.AX,BCA,BLACK CANYON LIMITED,Materials,False
BC8.AX,BC8,BLACK CAT SYNDICATE LIMITED,Materials,False
BHL.AX,BHL,BLACK HORSE MINING LIMITED,Materials,False
