YahooSymbol,Code,Company,Sector,is_reit
HXL.AX,HXL,HEXIMA LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",False
HPR.AX,HPR,HIGH PEAK ROYALTIES LIMITED,Energy,False
HTM.AX,HTM,HIGH-TECH METALS LTD,Materials,False
HCL.AX,HCL,HIGHCOM LIMITED,Capital Goods,False
HFR.AX,HFR,HIGHFIELD RESOURCES LIMITED,Materials,False
HGO.AX,HGO,HILLGROVE RESOURCES LIMITED,Materials,False
HPG.AX,HPG,HIPAGES GROUP HOLDINGS LTD,Media & Entertainment,False
HMI.AX,HMI,HIREMII LIMITED,Commercial & Professional Services,False
HIT.AX,HIT,HITECH GROUP AUSTRALIA LIMITED,Commercial & Professional Services,False
HIQ.AX,HIQ,HITIQ LIMITED,Health Care Equipment & Services,False
HMC.AX,HMC,HMC CAPITAL LIMITED,Financial Services,False
HCT.AX,HCT,HOLISTA COLLTECH LIMITED,Household & Personal Products,False
HRN.AX,HRN,HORIZON GOLD LIMITED,Materials,False
HRZ.AX,HRZ,HORIZON MINERALS LIMITED,Materials,False
HZN.AX,HZN,HORIZON OIL LIMITED,Energy,False
HOR.AX,HOR,HORSESHOE METALS LIMITED,Materials,False
HCH.AX,HCH,HOT CHILI LIMITED,Materials,False
HUB.AX,HUB,HUB24 LIMITED,Financial Services,False
HFY.AX,HFY,HUBIFY LIMITED,Telecommunication Services,False
HUM.AX,HUM,HUMM GROUP LIMITED,Financial Services,False
HYD.AX,HYD,HYDRIX LIMITED,Technology Hardware & Equipment,False
HCD.AX,HCD,HYDROCARBON DYNAMICS LIMITED,Energy,False
HYT.AX,HYT,HYTERRA LTD,Energy,False
IS3.AX,IS3,I SYNERGY GROUP LIMITED,Software & Services,False
ICI.AX,ICI,ICANDY INTERACTIVE LIMITED,Media & Entertainment,False
ICL.AX,ICL,ICENI GOLD LIMITED,Materials,False
ICE.AX,ICE,ICETANA LIMITED,Software & Services,False
ID8.AX,ID8,IDENTITII LIMITED,Software & Services,False
IEL.AX,IEL,IDP EDUCATION LIMITED,Consumer Services,False
IDT.AX,IDT,IDT AUSTRALIA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IGN.AX,IGN,IGNITE LIMITED,Commercial & Professional Services,False
IGO.AX,IGO,IGO LIMITED,Materials,False
IKE.AX,IKE,IKEGPS GROUP LIMITED,Technology Hardware & Equipment,False
ILT.AX,ILT,ILTANI RESOURCES LIMITED.,Materials,False
ILU.AX,ILU,ILUKA RESOURCES LIMITED,Materials,False
IMA.AX,IMA,IMAGE RESOURCES NL,Materials,False
IBX.AX,IBX,IMAGION BIOSYSTEMS LIMITED,Health Care Equipment & Services,False
IMD.AX,IMD,IMDEX LIMITED,Materials,False
IME.AX,IME,IMEXHS LIMITED,Health Care Equipment & Services,False
IMC.AX,IMC,IMMURON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IMM.AX,IMM,IMMUTEP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IPT.AX,IPT,IMPACT MINERALS LIMITED,Materials,False
IPD.AX,IPD,IMPEDIMED LIMITED,Health Care Equipment & Services,False
IPC.AX,IPC,IMPERIAL PACIFIC LIMITED,Financial Services,False
IMR.AX,IMR,IMRICOR MEDICAL SYSTEMS INC.,Health Care Equipment & Services,False
IMU.AX,IMU,IMUGENE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IAM.AX,IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.,Financial Services,False
IDA.AX,IDA,INDIANA RESOURCES LIMITED,Materials,False
IND.AX,IND,INDUSTRIAL MINERALS LTD,Materials,False
I88.AX,I88,INFINI RESOURCES LIMITED,Materials,False
INF.AX,INF,INFINITY METALS LIMITED,Materials,False
IMI.AX,IMI,INFINITY MINING LIMITED,Materials,False
IFG.AX,IFG,INFOCUS GROUP HOLDINGS LIMITED,Software & Services,False
ITS.AX,ITS,INFOTRUST LTD,Software & Services,False
IFN.AX,IFN,INFRAGREEN GROUP LIMITED,Commercial & Professional Services,False
IFT.AX,IFT,INFRATIL LIMITED.,Capital Goods,False
ING.AX,ING,INGHAMS GROUP LIMITED,"Food, Beverage & Tobacco",False
IIQ.AX,IIQ,INOVIQ LTD,Health Care Equipment & Services,False
IFL.AX,IFL,INSIGNIA FINANCIAL LTD,Financial Services,False
IAG.AX,IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance,False
IDX.AX,IDX,INTEGRAL DIAGNOSTICS LIMITED,Health Care Equipment & Services,False
IRI.AX,IRI,INTEGRATED RESEARCH LIMITED,Software & Services,False
ICR.AX,ICR,INTELICARE HOLDINGS LIMITED,Health Care Equipment & Services,False
IMB.AX,IMB,INTELLIGENT MONITORING GROUP LIMITED,Commercial & Professional Services,False
IEQ.AX,IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.,Real Estate Management & Development,False
IG6.AX,IG6,INTERNATIONAL GRAPHITE LIMITED,Capital Goods,False
IVG.AX,IVG,INVERT GRAPHITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IVR.AX,IVR,INVESTIGATOR SILVER LIMITED,Materials,False
ICU.AX,ICU,INVESTOR CENTRE LIMITED,Financial Services,False
INV.AX,INV,INVESTSMART GROUP LIMITED,Financial Services,False
IXC.AX,IXC,INVEX THERAPEUTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
IVZ.AX,IVZ,INVICTUS ENERGY LTD,Energy,False
IVX.AX,IVX,INVION LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
IOD.AX,IOD,IODM LIMITED,Software & Services,False
IOV.AX,IOV,ION VIDEO LTD,Software & Services,False
ION.AX,ION,IONDRIVE LIMITED,Materials,False
INR.AX,INR,IONEER LTD,Materials,False
IXR.AX,IXR,IONIC RARE EARTHS LIMITED,Materials,False
IPG.AX,IPG,IPD GROUP LTD,Capital Goods,False
IPX.AX,IPX,IPERIONX LIMITED,Materials,False
IPH.AX,IPH,IPH LIMITED,Commercial & Professional Services,False
IRE.AX,IRE,IRESS LIMITED,Software & Services,False
IR1.AX,IR1,IRIS METALS LIMITED,Materials,False
IBR.AX,IBR,IRON BEAR RESOURCES LTD,Materials,False
IRD.AX,IRD,IRON ROAD LIMITED,Materials,False
ILA.AX,ILA,ISLAND PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
ITM.AX,ITM,ITECH MINERALS LTD,Materials,False
IGL.AX,IGL,IVE GROUP LIMITED,Media & Entertainment,False
JGH.AX,JGH,JADE GAS HOLDINGS LIMITED,Materials,False
JHX.AX,JHX,JAMES HARDIE INDUSTRIES PLC,Materials,False
JAL.AX,JAL,JAMESON RESOURCES LIMITED,Materials,False
JAN.AX,JAN,JANISON EDUCATION GROUP LIMITED,Software & Services,False
JNS.AX,JNS,JANUS ELECTRIC HOLDINGS LIMITED,Utilities,False
JAT.AX,JAT,JATCORP LIMITED,Consumer Discretionary Distribution & Retail,False
JAV.AX,JAV,JAVELIN MINERALS LIMITED,Materials,False
JAY.AX,JAY,JAYRIDE GROUP LIMITED,Transportation,False
JBH.AX,JBH,JB HI-FI LIMITED,Consumer Discretionary Distribution & Retail,False
JCS.AX,JCS,JCURVE SOLUTIONS LTD,Software & Services,False
JLL.AX,JLL,JINDALEE LITHIUM LIMITED,Materials,False
JYC.AX,JYC,JOYCE CORPORATION LTD,Consumer Discretionary Distribution & Retail,False
JDO.AX,JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks,False
JIN.AX,JIN,JUMBO INTERACTIVE LIMITED,Consumer Services,False
JNO.AX,JNO,JUNO MINERALS LIMITED,Materials,False
JPR.AX,JPR,JUPITER ENERGY LIMITED,Energy,False
JMS.AX,JMS,JUPITER MINES LIMITED.,Materials,False
KSC.AX,KSC,K & S CORPORATION LIMITED,Transportation,False
KAM.AX,KAM,K2 ASSET MANAGEMENT HOLDINGS LTD,Financial Services,False
KLR.AX,KLR,KAILI RESOURCES LIMITED,Energy,False
KAI.AX,KAI,KAIROS MINERALS LIMITED,Materials,False
KAU.AX,KAU,KAISER REEF LIMITED,Materials,False
KZR.AX,KZR,KALAMAZOO RESOURCES LIMITED,Materials,False
KAL.AX,KAL,KALGOORLIE GOLD MINING LIMITED,Materials,False
KM1.AX,KM1,KALI METALS LIMITED,Materials,False
KPO.AX,KPO,KALINA POWER LIMITED,Utilities,False
KAR.AX,KAR,KAROON ENERGY LTD,Energy,False
KPG.AX,KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED,Commercial & Professional Services,False
KLS.AX,KLS,KELSIAN GROUP LIMITED,Transportation,False
KEY.AX,KEY,KEY PETROLEUM LIMITED,Energy,False
KBC.AX,KBC,KEYBRIDGE CAPITAL LIMITED,Financial Services,False
KGL.AX,KGL,KGL RESOURCES LIMITED,Materials,False
KLI.AX,KLI,KILLI RESOURCES LIMITED,Materials,False
KSL.AX,KSL,KINA SECURITIES LIMITED,Banks,False
KYP.AX,KYP,KINATICO LTD,Software & Services,False
KCC.AX,KCC,KINCORA COPPER LIMITED,Materials,False
KKO.AX,KKO,KINETIKO ENERGY LTD,Energy,False
KRR.AX,KRR,KING RIVER RESOURCES LIMITED,Materials,False
KFM.AX,KFM,KINGFISHER MINING LTD,Materials,False
KCN.AX,KCN,KINGSGATE CONSOLIDATED LIMITED.,Materials,False
KNG.AX,KNG,KINGSLAND MINERALS LTD,Materials,False
KRM.AX,KRM,KINGSROSE MINING LIMITED,Materials,False
KSN.AX,KSN,KINGSTON RESOURCES LIMITED,Materials,False
KME.AX,KME,KIP MCGRATH EDUCATION CENTRES LIMITED,Consumer Services,False
KLV.AX,KLV,KLEVO REWARDS LIMITED,Commercial & Professional Services,False
KMD.AX,KMD,KMD BRANDS LIMITED,Consumer Discretionary Distribution & Retail,False
KNM.AX,KNM,KNEOMEDIA LIMITED,Media & Entertainment,False
KNO.AX,KNO,KNOSYS LIMITED,Software & Services,False
KOB.AX,KOB,KOBA RESOURCES LIMITED,Materials,False
KGN.AX,KGN,KOGAN.COM LTD,Consumer Discretionary Distribution & Retail,False
KNB.AX,KNB,KOONENBERRY GOLD LIMITED,Materials,False
KOR.AX,KOR,KORAB RESOURCES LIMITED,Materials,False
KP2.AX,KP2,KORE POTASH PLC,Materials,False
KOV.AX,KOV,KORVEST LTD,Capital Goods,False
KTA.AX,KTA,KRAKATOA RESOURCES LIMITED,Materials,False
KNI.AX,KNI,KUNIKO LIMITED,Materials,False
L1G.AX,L1G,L1 GROUP LIMITED,Financial Services,False
LSA.AX,LSA,LACHLAN STAR LIMITED,Materials,False
LKE.AX,LKE,LAKE RESOURCES N.L.,Materials,False
LKO.AX,LKO,LAKES BLUE ENERGY NL,Energy,False
LAM.AX,LAM,LARAMIDE RESOURCES LTD,Energy,False
LRK.AX,LRK,LARK DISTILLING CO. LTD,"Food, Beverage & Tobacco",False
LRV.AX,LRV,LARVOTTO RESOURCES LIMITED,Materials,False
LBL.AX,LBL,LASERBOND LIMITED,Capital Goods,False
LAT.AX,LAT,LATITUDE 66 LIMITED,Materials,False
LFS.AX,LFS,LATITUDE GROUP HOLDINGS LIMITED,Financial Services,False
LMG.AX,LMG,LATROBE MAGNESIUM LIMITED,Materials,False
LCL.AX,LCL,LCL RESOURCES LIMITED,Materials,False
LM1.AX,LM1,LEEUWIN METALS LTD,Materials,False
LEX.AX,LEX,LEFROY EXPLORATION LIMITED,Materials,False
LCY.AX,LCY,LEGACY IRON ORE LIMITED,Materials,False
LGM.AX,LGM,LEGACY MINERALS HOLDINGS LIMITED,Materials,False
LEG.AX,LEG,LEGEND MINING LIMITED,Materials,False
LLC.AX,LLC,LENDLEASE GROUP,Real Estate Management & Development,False
LGI.AX,LGI,LGI LIMITED,Utilities,False
LIS.AX,LIS,LI-S ENERGY LIMITED,Capital Goods,False
LFG.AX,LFG,LIBERTY FINANCIAL GROUP,Financial Services,False
LIB.AX,LIB,LIBERTY METALS LTD,Materials,False
360.AX,360,LIFE360 INC.,Software & Services,False
LIC.AX,LIC,LIFESTYLE COMMUNITIES LIMITED,Real Estate Management & Development,False
LNW.AX,LNW,LIGHT & WONDER INC.,Consumer Services,False
L1M.AX,L1M,LIGHTNING MINERALS LTD,Materials,False
LML.AX,LML,LINCOLN MINERALS LIMITED,Materials,False
LIN.AX,LIN,LINDIAN RESOURCES LIMITED,Materials,False
LAU.AX,LAU,LINDSAY AUSTRALIA LIMITED,Transportation,False
LNQ.AX,LNQ,LINQ MINERALS LIMITED,Materials,False
LIO.AX,LIO,LION ENERGY LIMITED,Energy,False
LRM.AX,LRM,LION ROCK MINERALS LTD,Materials,False
LTR.AX,LTR,LIONTOWN LIMITED,Materials,False
LMS.AX,LMS,LITCHFIELD MINERALS LIMITED,Materials,False
LEL.AX,LEL,LITHIUM ENERGY LIMITED,Materials,False
LPM.AX,LPM,LITHIUM PLUS MINERALS LTD.,Materials,False
LU7.AX,LU7,LITHIUM UNIVERSE LIMITED,Materials,False
LGP.AX,LGP,LITTLE GREEN PHARMA LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
LIT.AX,LIT,LIVIUM LTD,Materials,False
LPE.AX,LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,Utilities,False
LKY.AX,LKY,LOCKSLEY RESOURCES LIMITED,Materials,False
LDR.AX,LDR,LODE RESOURCES LTD,Materials,False
LSR.AX,LSR,LODESTAR MINERALS LIMITED,Materials,False
LCE.AX,LCE,LONDON CITY EQUITIES LIMITED,Financial Services,False
LRD.AX,LRD,LORD RESOURCES LIMITED,Materials,False
LOT.AX,LOT,LOTUS RESOURCES LIMITED,Materials,False
LVE.AX,LVE,LOVE GROUP GLOBAL LTD,Software & Services,False
LOV.AX,LOV,LOVISA HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
LLM.AX,LLM,LOYAL METALS LTD,Materials,False
LTP.AX,LTP,LTR PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
LDX.AX,LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED,Health Care Equipment & Services,False
LM8.AX,LM8,LUNNON METALS LIMITED,Materials,False
LYL.AX,LYL,LYCOPODIUM LIMITED,Capital Goods,False
LYC.AX,LYC,LYNAS RARE EARTHS LIMITED,Materials,False
M3M.AX,M3M,M3 MINING LIMITED,Materials,False
MAF.AX,MAF,MA FINANCIAL GROUP LIMITED,Financial Services,False
MGH.AX,MGH,MAAS GROUP HOLDINGS LIMITED,Capital Goods,False
MNE.AX,MNE,MACALLUM NEW ENERGY LIMITED,Energy,False
MIO.AX,MIO,MACARTHUR MINERALS LIMITED,Materials,False
M7T.AX,M7T,MACH7 TECHNOLOGIES LIMITED,Health Care Equipment & Services,False
MAH.AX,MAH,MACMAHON HOLDINGS LIMITED,Materials,False
MQG.AX,MQG,MACQUARIE GROUP LIMITED,Financial Services,False
MAQ.AX,MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,Software & Services,False
M4M.AX,M4M,MACRO METALS LIMITED,Materials,False
MAD.AX,MAD,MADER GROUP LIMITED,Commercial & Professional Services,False
MFG.AX,MFG,MAGELLAN FINANCIAL GROUP LIMITED,Financial Services,False
MBH.AX,MBH,MAGGIE BEER HOLDINGS LTD,"Food, Beverage & Tobacco",False
MAG.AX,MAG,MAGMATIC RESOURCES LIMITED,Materials,False
MAU.AX,MAU,MAGNETIC RESOURCES NL,Materials,False
MGT.AX,MGT,MAGNETITE MINES LIMITED.,Materials,False
MGU.AX,MGU,MAGNUM MINING AND EXPLORATION LIMITED,Materials,False
MGL.AX,MGL,MAGONTEC LIMITED,Materials,False
M24.AX,M24,MAMBA EXPLORATION LIMITED,Materials,False
M79.AX,M79,MAMMOTH MINERALS LIMITED,Materials,False
MAN.AX,MAN,MANDRAKE RESOURCES LIMITED,Materials,False
MHC.AX,MHC,MANHATTAN GOLD CORPORATION LIMITED,Energy,False
MTL.AX,MTL,MANTLE MINERALS LIMITED,Materials,False
MKR.AX,MKR,MANUKA RESOURCES LTD.,Materials,False
MPK.AX,MPK,MANY PEAKS MINERALS LTD,Materials,False
MC2.AX,MC2,MARIMACA COPPER CORP.,Materials,False
MEU.AX,MEU,MARMOTA LIMITED,Energy,False
MMA.AX,MMA,MARONAN METALS LIMITED,Materials,False
MQR.AX,MQR,MARQUEE RESOURCES LIMITED,Materials,False
MVL.AX,MVL,MARVEL GOLD LIMITED,Materials,False
MYE.AX,MYE,MASTERMYNE GROUP LIMITED,Materials,False
MCE.AX,MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,Energy,False
MAT.AX,MAT,MATSA RESOURCES LIMITED,Materials,False
MXI.AX,MXI,MAXIPARTS LIMITED,Capital Goods,False
MFD.AX,MFD,MAYFIELD CHILDCARE LIMITED,Consumer Services,False
MYG.AX,MYG,MAYFIELD GROUP HOLDINGS LIMITED,Capital Goods,False
MYX.AX,MYX,MAYNE PHARMA GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
MBG.AX,MBG,MB GOLD LIMITED,Materials,False
MCM.AX,MCM,MC MINING LIMITED,Energy,False
MML.AX,MML,MCLAREN MINERALS LIMITED,Materials,False
MMS.AX,MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services,False
MCP.AX,MCP,MCPHERSON'S LIMITED,Household & Personal Products,False
MSG.AX,MSG,MCS SERVICES LIMITED,Commercial & Professional Services,False
MMR.AX,MMR,MEC RESOURCES LIMITED,Energy,False
MM8.AX,MM8,MEDALLION METALS LIMITED.,Materials,False
MPL.AX,MPL,MEDIBANK PRIVATE LIMITED,Insurance,False
MVP.AX,MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
MEK.AX,MEK,MEEKA METALS LIMITED,Materials,False
MEG.AX,MEG,MEGADO MINERALS LTD,Materials,False
MP1.AX,MP1,MEGAPORT LIMITED,Software & Services,False
MAY.AX,MAY,MELBANA ENERGY LIMITED,Energy,False
MEM.AX,MEM,MEMPHASYS LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",False
MCY.AX,MCY,MERCURY NZ LIMITED,Utilities,False
MEZ.AX,MEZ,MERIDIAN ENERGY LIMITED,Utilities,False
MNC.AX,MNC,MERINO & CO. LIMITED,Consumer Durables & Apparel,False
MSB.AX,MSB,MESOBLAST LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
MBK.AX,MBK,METAL BANK LIMITED,Materials,False
MHK.AX,MHK,METAL HAWK LIMITED.,Materials,False
MPW.AX,MPW,METAL POWDER WORKS LIMITED,Capital Goods,False
MTM.AX,MTM,METALLIUM LIMITED,Materials,False
MLS.AX,MLS,METALS AUSTRALIA LTD,Materials,False
MLX.AX,MLX,METALS X LIMITED,Materials,False
MGA.AX,MGA,METALSGROVE MINING LTD,Materials,False
MTC.AX,MTC,METALSTECH LIMITED,Materials,False
MTS.AX,MTS,METCASH LIMITED,Consumer Staples Distribution & Retail,False
MEI.AX,MEI,METEORIC RESOURCES NL,Materials,False
MEL.AX,MEL,METGASCO LTD,Energy,False
MMI.AX,MMI,METRO MINING LIMITED,Materials,False
MPP.AX,MPP,METRO PERFORMANCE GLASS LIMITED,Capital Goods,False
MGX.AX,MGX,MGX RESOURCES LIMITED,Materials,False
MHJ.AX,MHJ,MICHAEL HILL INTERNATIONAL LIMITED,Consumer Discretionary Distribution & Retail,False
MX1.AX,MX1,MICRO-X LIMITED,Health Care Equipment & Services,False
MAP.AX,MAP,MICROBA LIFE SCIENCES LIMITED,Health Care Equipment & Services,False
MAM.AX,MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,Financial Services,False
MM1.AX,MM1,MIDAS MINERALS LTD,Materials,False
MDI.AX,MDI,MIDDLE ISLAND RESOURCES LIMITED,Materials,False
MNB.AX,MNB,MINBOS RESOURCES LIMITED,Materials,False
MDX.AX,MDX,MINDAX LIMITED,Materials,False
MRC.AX,MRC,MINERAL COMMODITIES LTD,Materials,False
MIN.AX,MIN,MINERAL RESOURCES LIMITED,Materials,False
MI6.AX,MI6,MINERALS 260 LIMITED,Materials,False
MEX.AX,MEX,MINERALS EXPLORATION LIMITED,Materials,False
MRR.AX,MRR,MINREX RESOURCES LIMITED,Materials,False
M2R.AX,M2R,MIRAMAR RESOURCES LIMITED,Materials,False
MSV.AX,MSV,MITCHELL SERVICES LIMITED,Materials,False
MTH.AX,MTH,MITHRIL SILVER AND GOLD LIMITED,Materials,False
MLG.AX,MLG,MLG OZ LIMITED,Materials,False
MOM.AX,MOM,MOAB MINERALS LIMITED,Materials,False
MOH.AX,MOH,MOHO RESOURCES LIMITED,Materials,False
MND.AX,MND,MONADELPHOUS GROUP LIMITED,Capital Goods,False
MVF.AX,MVF,MONASH IVF GROUP LIMITED,Health Care Equipment & Services,False
MME.AX,MME,MONEYME LIMITED,Financial Services,False
MRZ.AX,MRZ,MONT ROYAL RESOURCES LIMITED,Materials,False
ML8.AX,ML8,MOONLIGHT RESOURCES LTD,Materials,False
1MC.AX,1MC,MORELLA CORPORATION LIMITED,Materials,False
MEC.AX,MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED,Financial Services,False
MXO.AX,MXO,MOTIO LTD,Media & Entertainment,False
MTO.AX,MTO,MOTORCYCLE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
MHM.AX,MHM,MOUNT HOPE MINING LIMITED,Materials,False
MRD.AX,MRD,MOUNT RIDLEY MINES LIMITED,Materials,False
MOV.AX,MOV,MOVE LOGISTICS GROUP LIMITED,Transportation,False
MPR.AX,MPR,MPR AUSTRALIA LIMITED,Financial Services,False
MRQ.AX,MRQ,MRG METALS LIMITED,Materials,False
M2M.AX,M2M,MT MALCOLM MINES NL,Materials,False
MSI.AX,MSI,MULTISTACK INTERNATIONAL LIMITED,Capital Goods,False
MCA.AX,MCA,MURRAY COD AUSTRALIA LIMITED,"Food, Beverage & Tobacco",False
MPX.AX,MPX,MUSTERA PROPERTY GROUP LIMITED,Real Estate Management & Development,False
MCO.AX,MCO,MYECO GROUP LTD,Materials,False
MYR.AX,MYR,MYER HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
MYS.AX,MYS,MYSTATE LIMITED,Banks,False
N1H.AX,N1H,N1 HOLDINGS LIMITED,Financial Services,False
NAG.AX,NAG,NAGAMBIE RESOURCES LIMITED,Materials,False
NC6.AX,NC6,NANOLLOSE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
NAN.AX,NAN,NANOSONICS LIMITED,Health Care Equipment & Services,False
NVU.AX,NVU,NANOVEU LIMITED,Technology Hardware & Equipment,False
NYM.AX,NYM,NARRYER METALS LIMITED,Materials,False
NAB.AX,NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks,False
NMR.AX,NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,Materials,False
NGI.AX,NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,Financial Services,False
NES.AX,NES,NELSON RESOURCES LIMITED.,Materials,False
NMT.AX,NMT,NEOMETALS LTD,Materials,False
NWL.AX,NWL,NETWEALTH GROUP LIMITED,Financial Services,False
NEU.AX,NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
NRZ.AX,NRZ,NEURIZER LTD,Materials,False
NUZ.AX,NUZ,NEURIZON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
NSB.AX,NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
NTI.AX,NTI,NEUROTECH INTERNATIONAL LIMITED,Health Care Equipment & Services,False
NAE.AX,NAE,NEW AGE EXPLORATION LIMITED,Energy,False
NFM.AX,NFM,NEW FRONTIER MINERALS LIMITED,Materials,False
NHC.AX,NHC,NEW HOPE CORPORATION LIMITED,Energy,False
NMG.AX,NMG,NEW MURCHISON GOLD LIMITED,Materials,False
NZK.AX,NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,"Food, Beverage & Tobacco",False
NWF.AX,NWF,NEWFIELD RESOURCES LIMITED,Materials,False
NEM.AX,NEM,NEWMONT CORPORATION,Materials,False
NPM.AX,NPM,NEWPEAK METALS LIMITED,Materials,False
NWS.AX,NWS,NEWS CORPORATION..,Media & Entertainment,False
NME.AX,NME,NEX METALS EXPLORATION LIMITED,Materials,False
NX1.AX,NX1,NEXALIS THERAPEUTICS LTD,Health Care Equipment & Services,False
NXG.AX,NXG,NEXGEN ENERGY (CANADA) LTD,Energy,False
NNG.AX,NNG,NEXION GROUP LTD,Software & Services,False
NXN.AX,NXN,NEXSEN LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
NXT.AX,NXT,NEXTDC LIMITED,Software & Services,False
NXD.AX,NXD,NEXTED GROUP LIMITED,Consumer Services,False
NXM.AX,NXM,NEXUS MINERALS LIMITED,Materials,False
NGX.AX,NGX,NGX LIMITED,Materials,False
NH3.AX,NH3,NH3 CLEAN ENERGY LIMITED,Materials,False
NHF.AX,NHF,NIB HOLDINGS LIMITED,Insurance,False
NCK.AX,NCK,NICK SCALI LIMITED,Consumer Discretionary Distribution & Retail,False
NIC.AX,NIC,NICKEL INDUSTRIES LIMITED,Materials,False
NC1.AX,NC1,NICO RESOURCES LIMITED,Materials,False
NDO.AX,NDO,NIDO EDUCATION LIMITED,Consumer Services,False
NIM.AX,NIM,NIMY RESOURCES LIMITED,Materials,False
NEC.AX,NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment,False
NHE.AX,NHE,NOBLE HELIUM LIMITED,Energy,False
NOL.AX,NOL,NOBLEOAK LIFE LIMITED,Insurance,False
NNL.AX,NNL,NORDIC RESOURCES LTD,Materials,False
NFL.AX,NFL,NORFOLK METALS LIMITED,Materials,False
NRX.AX,NRX,NORONEX LIMITED,Materials,False
NSM.AX,NSM,NORTH STAWELL MINERALS LTD,Materials,False
NTU.AX,NTU,NORTHERN MINERALS LIMITED,Materials,False
NST.AX,NST,NORTHERN STAR RESOURCES LTD,Materials,False
NWM.AX,NWM,NORWEST MINERALS LIMITED,Materials,False
NOR.AX,NOR,NORWOOD SYSTEMS LIMITED,Software & Services,False
NOU.AX,NOU,NOUMI LIMITED,"Food, Beverage & Tobacco",False
EYE.AX,EYE,NOVA EYE MEDICAL LIMITED,Health Care Equipment & Services,False
NVA.AX,NVA,NOVA MINERALS LIMITED,Materials,False
NOV.AX,NOV,NOVATTI GROUP LIMITED,Software & Services,False
NVQ.AX,NVQ,NOVIQTECH LIMITED,Software & Services,False
NVO.AX,NVO,NOVO RESOURCES CORP.,Materials,False
NVX.AX,NVX,NOVONIX LIMITED,Technology Hardware & Equipment,False
NOX.AX,NOX,NOXOPHARM LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
NWH.AX,NWH,NRW HOLDINGS LIMITED,Capital Goods,False
NTM.AX,NTM,NT MINERALS LIMITED,Materials,False
NTD.AX,NTD,NTAW HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,False
NUC.AX,NUC,NUCHEV LIMITED,"Food, Beverage & Tobacco",False
NGY.AX,NGY,NUENERGY GAS LIMITED,Energy,False
NUF.AX,NUF,NUFARM LIMITED,Materials,False
NXL.AX,NXL,NUIX LIMITED,Software & Services,False
NGS.AX,NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,Household & Personal Products,False
NYR.AX,NYR,NYRADA INC.,"Pharmaceuticals, Biotechnology & Life Sciences",False
NZM.AX,NZM,NZME LIMITED,Media & Entertainment,False
OKJ.AX,OKJ,OAKAJEE CORPORATION LIMITED,Materials,False
OAK.AX,OAK,OAKRIDGE INTERNATIONAL LIMITED,Software & Services,False
